EmiNiTybaba	IWeb
dàárúdàápọ	in general
Ayisatu	Ayatatu
toko-toya	to-draw
Gbemi	Move
ifilo	disclosure,inform.verb
tosinpraise	relax
Ajanlek	Bother
kọọrọ	report
alẹyi	dirty
àyídáyidà	disruption
agbọdọ	we should
sonson	soundon
shall	will
ijambamọto	authentication
pipese	cleared
omo-ikoko	baby-babies
igbọnsẹ	toilet
olokanjokan	entirely
gbọingbọin	hygiene
ìgbèku	movement
kilogbevideo	kmroad
alukuku	dust
ìtanilólobó	nail
ṣatunṣesi	checks
mọna	explained
tiiṣẹlẹ	evening
Ekene	Yes
ọdaru	reflection
ile-gbigbe	homepage,residence.noun
ogbara	energy
seek	search
mẹjẹjọ	eight
tẹlifonu	television
jakun	jacket
wáye	place,arise.verb
todunwọn	boundaries
Kumashenge	Depth
Oloyemi	Superior
ọju	stomach,eye.noun,face.noun
isinkù	month,burial.noun,funeral.noun
bẹẹlo	solo
kannakori	generic
ṣẹda	create,rip.noun
nmojuto	admin
Agbáni	Employee
o-le-mọkandinlogun	o-le-eleven
maso	mask
tajere	trick
taisan	sick
ọkọ-oju	screwdriver
Sofo	Cool,mourn.verb
lawoye	colorful
oniroyinwa	affiliate
ọgà	batch,master.noun,bossy.adjective,master.verb
aaruan	transmit
lekun	sea
àgìdì	cake
Mewa	Mewa,ten.noun
mimi	breathe
dálé	created
gbonna	cook
Kobura	Shipping
osisè	it works,personnel.noun,official.noun,staff.noun,officer.noun
momo	kind
lakoojọ	crowded
igbẹkẹle	trust,trust.noun,trust.verb
jàǹbáa	accident
amebo	homepage
ori-ilẹ	ground floor
sipinle	slopes
ṣùgbo	cold
jiipuToyota	sniper
ogoje	nine
afolarun	flat
kadu	worried
kánmọ	fast
amóhùn-máwòrán	audio-visual,television.noun
latilọọ	laced
sòro	sigu,speak.verb,talk.noun,talk.verb
hangogo	hang on
sòkusó	slippery
igbonse	toilet
jeka	go
Danie20-year-oldni	Danie 20-year-old
odiindi	just like
oṣiṣẹ-kunrin	male worker
iyaloja	power supply
alai-ni-ile	home-based
Arẹgun	Lion
Fagun	extend.verb
Dukku	All of you
mejisẹyin	later
Siwaju	Further,forward.adverb,ahead.adverb
eniyuan	owner
kaàrún	bad
Akurẹlọjọ	Crowd
kàánjúà	coffee
kọjumọ	famous
serria	Serria
Oke-Odunwo	High-Performance
Lona	His
gberegbere	afterwards
biriiji	burial
ńdiyelé	value
só	up,tell.verb,say.verb
fọfọ	spring
awokọse	nightmare
sábẹ	below
aiko	send
kurukuru	cloudy
ìsin	service
Okupe	Cash
burnt	burn
Ọnabanjọ	Unfortunately
ibusọ	slippery
samulo	gotten
paruwo	heard
ipeninija	lighthouse
tàlàáfíà	peace
iṣẹ-abẹ	surgery.noun
fa-kẹrẹ	pre-eminent
Ilà-oòrùn	East-east,east.noun
Dugbe	Last
mẹta-le-ogoji	three and a half
ifoya	twentieth
kogbobi	challenge
kosenikan	ocean,nobody.pronoun
wasibi	place
takiti	critics
omookunrin	boyfriend
yana-yana	yes
yagbẹẹ	next
Ogunyọmi	Crowd
marose	dry
ijanba	I'm sorry
Ìjàyé	Flood
lenikeji	second
wola-wola	worm-woo
arawon	fat
n-ọn-nì	That's the case
arapamọ	cache
Omooya	Hello
etoimọtoto	immunity
sanmonti	celebrity
Damasak	Damascus
ItanEde	History
sokutu	spoon
ibẹṛru	fear
gbigbebi	abortion
Aadorin	seventy.noun
Balógun	Ballot
58odún	58th year
nirọniyawo	cool
lakaki	especially
abanikẹdun	sorry
alaisan	patient
atosi	colleagues
BokoHarramu	Boko Haram
yanyana	choose
ṣọj	cheek
Rẹdio	radio.noun
ogogoro	height,summit.noun
alagana	alarms
Alabojuto	Supervisor
Izu	Week
ailoye	unhealthy,misunderstand.verb,misunderstanding.noun
laka	SafeSearch
oloró	magnificent,poisonous.adjective
29.nigba	29nd
ajakalẹ	gourmet
omígbóná	hot
irúnmọlẹ	illuminated
iroyintun	passionate
ndi	who
igbẹ-gbuuru	diarrhea.noun
Afaha	Offline
fowosi	invested,approve.verb,endorse.verb
nkirun	crude
lotooto	courage,separate.verb,separate.adjective
adawon	fatigue
ajokanle	approval
kan	affect.verb
agbarijopo	crowded
greatness	magnitude
gbejoba	govern
fika	fiber
lẹẹmẹtaọtọọto	three times a day
òkunkun	darkness.noun
ẹṃi	every one,me.pronoun
farakasa	knee
tẹgbọn-taburo	tabs
polúkúúmuṣu	abominable
ọmọrẹ	friends
arunnaa	disease
ọro	nickname,affluence.noun,fairy.noun,text.noun,speech.noun,wealth.noun,fortune.noun,word.noun
mẹtalelogoji	thirty-three
ipe-pajawiri	emergency call,distress.noun
àjípọn	white
pooranitori	headquarters
mefa-aabo	security
akolu	third
ka	and,count.verb,read.verb
wawọ	hand
loju-popo	overnight
Elugbaju	Superb
kefin	coffee
Badamọsi	Missing
arọwọto	reach
eyookan	one
egboogi	antibiotics
gbemu	carry
igbokupamosi	archive
jiipi	knife
praisefowowe	newsletter
burukuyii	guys
Ekotẹdo	Last
mimojuto	monitoring
tomo	enter
lọjọAje	Monday
alailobi	ignorant
Ni	have.verb,at.preposition,in.preposition,consist.verb,own.adjective
GBAJAWIRI	RECOVERY
ikẹhìn	last.adjective,ultimate.adjective
Non	No
dina	block.noun
laatari	subject
alabọọde	next
kodawọn	even though
lagbagbe	community
silati	sealed
kọkanlelọgọrin	ninety-nine
ejeeji	go on
ṣinṣin	fast
ajínigbé	pick up
leemeji	twice.adverb
gbogb	totally
àmútọrunwá	divine
sọsẹ	soccer
alaini-baba	poor-father
orukan	orphans
omi	water.noun,liquid.adjective,water.verb
ese-kan-orun	one-on-one
Adesiyan	Adieyan
lokili	times
fowora	savings
mígbẹ	associate
mejiti	bond
Ọḳḳka-Akoko	Classroom-Time
wajowajo	joining
ita-gbangba	publicly,outside.preposition,outside.noun
apọkọjẹ	homosexuality
àfira	touch
nsìnsin	service
mona	for himself
ikosile	expression,desertion.noun
seesi	chess.noun
omimo	mystery
Opo-Yeesa	Opo-Yeah
ṣìnkún	kiss
moke	I cried
aaarin	center
Oṣiṣẹ	It works,personnel.noun,official.noun,staff.noun,officer.noun
mẹtàlélọ	asthma
Ebeano	Elon
awọnapẹẹrẹ	for example
gbogan	damn,hall.noun
Akolu	Third
ina-manamana	lightweight
jijakadi	struggle
Iko	Power,beak.noun,cough.noun,cough.verb,hook.noun
InuỌlọun	God's Love
ongba	it takes
dáàrọ	free
àìfaraálẹ	depression
pour	for
egeremiti	discount
ọwọngogo	size
DoroSuuru	DoroYouuuru
nijẹrin	nutrition
wéré	hastily
oju-omi	ship
Èbólà	Eclipse
ajagunfeyinti	backbone
ojurin	task
lowọ	touch
Jagunlabi	Jagunbibi
Ị	You
relẹ	criticism
oríṣiríṣi	different
Olúbàdàn	Satan
ajagbeelepo	alliance
ayege	momentum
agbaranaa	power
Taofiq	Stop
Afaa	Extra
Ọlga	OK
kakiri	around
rofọ	rubber
mọkanlelọgbọn	eleven
Koto	Cats,ditch.noun,pit.noun
lojulowo	first
fẹnuba	mention
Afo	You
biriji	burgundy
Olurotimi	Chocolate
kowoo	all
sakoso	control,control.noun,govern.verb,conduct.verb,conduct.noun,manage.verb
ọjọmẹta	three days
sẹri	off
jíjíire	cheating
Itumo	Meaning,interpretation.noun,meaning.noun,translation.noun
poponipinlẹ	popup
sun-kere-fa-kere	craft-shaped,traffic.noun
igbe-gbuuru	diarrhea.noun
igbẹ-gburu	murdered
bariki	barque
pea	yes
ṣọọsẹ	toilet
Ààrun	Dead,disease.noun
gbole	wide
Igbalode	Time,modern.adjective
àkíyèsi	noticeable
