hawlgaladoodii	their operations
darsayaan	explains
xukumaayay	governing
Salaaxuddiin	I was a genius
hadheen	left over
xiggay	next
Yunnaan	Yunnan
bilyaardiga	billiards
taliyahii	command
umuurtaas	That's right
saameysey	affected
Xirada	Clutch
LIKE-ta	LIKE
lid-jirka	lid-on
Weerarakan	Attacking
Carafaad	Carafe
halligidda	destruction
bareegga	the handle
walaalahaa	your brothers
tahriibiyeen	smuggled
mudaaharaadayey	it's going to happen
sheegitaanka	statement
eddaQaramada	Cruelty
xalaaddu	insecurity
fataahada	in the story
-Qasaaraha	- The victim
Bansiin	The bill
-Qaraxii	-Read
alerjiyo	allergy
maalinata	day
Xajkooda	Their pilgrimage
iska-caabbin	resist
tilmaaay	pointed out
caafimaadkeedu	her health
codsanaysa	applying
midkamida	the union
isu-duwanaha	self-esteem
beegsigoodu	their target
kadhacda	in the middle
aqoonsashada	identification
Sayax	Pure
Sacad-Muuse	Sacad-Muse
dhicitaanka	falling
Nawaf	Rarely
Dembibaadheyaal	Crimes
jirey	old
niyab	what is it
baadigoobayana	and seek discourse
tiradadooda	their numbers
Baaditaan	Search
Yemi	Feed
cilimiyeedka	foil
masjidkaasi	mosque
leynayaan	kill it
Kurdistanta	In Kurdistan
Yahuud	Jewish
dhaawac-ba	injury
fulaynimada	cowardice
weerrartay	I was injured
garsiiyay	asked
qaaadeen	took it
14-qof	14 people
Ninmanka	Manman
caalamul	internationally
Deeqahawareega	Thanks to the donor
amni-xumo	amnesty
arriman	this is
kanulka	on the ground
1999kii	1999
Jeermiskan	Bactericidal
Jarar	Out there
Badweyna	Badge
Horgeysay	First
koobaayey	it was summed up
kukwa	duck
Kiisaskan	This case
fak	finger
Ethiopianka	Ethiopian
xiraha	the clerk
Qiyaastiisu	Its approximate
Mutemi	My mood
billaabmayaan	start
Fataahada	The story
minadan	min
Al-shabaaba	Al-Shabab
Waaliddiintu	Parents
bad-baadiyey	flooded
nafaq-darrina	malnutrition
danbeeyyay	next
dabaaldagyo	celebrations
Habiga	The instrument
Talaalkaan	This vaccine
Guine	Guinea
cudurkas	disease
daadinaysay	shed
aeegsaday	asked
magaalaa	city
bambo-gacmeed	a hand grenade
ruuxaani	this spirit
firir	sir
Taaliibaan	Hurry up
gudanaysa	doing it
bannaanbaxayay	banned
udhaxeysa	between
dhagaxle	stone
30malyan	30mm
Qaxootigaasi	That refugee
Eedadiis	His craft
nasta	how are you
nadaafaddiisa	cleanliness
Hargaha	Hargeisa
xariirta	silk
kannaal	channel
saabsanayn	about it
agagaarrada	around
matooradeedu	the motors
Kamkuma	To my camera
mudaharaadayay	protesting
Islamiyiinta	Islamists
yahuud	Jewish
Qarammadda	National
fardaha	horses
antibaayotik	antibiotics
biyoxireenka	biking
shaqaalaysiiyo	hire
badankeed	most
dembiyeed	crime
Cadayashada	Brushing
dabiibaayo	the fire
mudaaharaadyadii	demonstrations
uxoogan	aftermath
boobeen	robbed
JAAHILIYADII	WELCOME
Kukuwa	The law
samatabaxayaal	survivors
lahayaeen	they had
darsinka	training
Aydhisku	Debris
SANDKIIBA	Sandy
Muwaaddinnimo	Citizenship
Talaaladadii	Your immunizations
maqaaxiyada	restaurants
deeqahawaaweyn	donation
saarnaadaan	on
kaleiya	other
daabushaa	print
quusayaasha	desperate
mamnuucaayo	banned
