ይገረስሳሉ	They will be circumcised
የጠቀሳቸው	Mentions them
14ቱን	14 times
ለአንዳችንም	For any of us
ተጎሳቁለው	They hurt
አዋልነው	We lost it
የሚጥለው	Throw it out
ጦስ	WordPress
ኢናሺዎ	Anchorage
ኣምናለሁኝ	I believe that
የሚቆምሩት	Standing
የአጋዓዚ	Gazette
እንደምታካሂድ	As you can
ለመግታትና	slow down
ለአቡኑ	For the captain
በባዕድ	At a foreigner's house
አምባገነኑና	Dictators
አጉዋ	Accelerated
ተመስርቶበት	Based on it
ዋተራ	WARRANTY
የመንገዶች	Roads
ባዶውን	Empty
በጄት	By Jeth
ካሌክስ	Alex
በተወሰዱ	Taken
ጐፋ	Bad
የሚመጡትም	And they come
ወታደሮቹም	And the soldiers said
አመ	Ann
ወረፋን	Envelope
መሰማቱንም	He hears
የዉድ	Fallout
እየታከሙ	Being Patient
የዘገየው	Delayed
የተጋረጠበትን	Where it is exposed
የመርመራው	investigation
ሰግደው	Suspended
የሚተዳደርበት	Managed by
አሜሪካውያኑ	Americans
ማናጃይት	Managua
እንገናኝ	keep in touch
ፈቃደኝነቶች	Permissions
በፋኩሽማ	Fukushima
የእናንተን	Your
አስቆጥቶት	Offensive
ይነጠቃል	Is abbreviated
የተቅማጥ	Diarrhea
አጃቢነት	Coaching
አቻቸውን	And they did
ከቢቢሲ	From the BBC
ካደረሰ	If it did
የሸፈተው	Wrapped
ተናገሩት	Talk
አለመቀበራቸው	Do not overreach them
ናቸ	Nah
ወደማታውቀው	You do not know
የመሰነጣጠቅ	Incinerating
አመፁ	Rebelled
ከውቅያኖስ	From the ocean
በያገሮቻቸዉ	At their own expense
ቦውደን	Boston
እንደበር	As it was
ከታየውና	Seeing
የሚያስፈልግበት	Where needed
የተጠናቀረ	Compiled
መናርን	Munch
አካባብያዊ	Local
ደስታዬ	I am happy
ካርቲኒስት	Cardinal
እንዳልተጠበቀ	Unsaved
ሲያፈርስ	When breaking down
ማስታወቃቸውን	Advertise them
ከመሠራታቸው	From them
ክሊኒኩን	clinic
የቃጠሎ	Burn
እንደማትፈቅድም	As you do not
ማቀነባበሪያዎች	Arrangements
ፈቀደች	She would
መርቀው	Give it a go
መዘርጋታቸውን	Expanding
ስትዋጋ	Fighting
የሰገደ	Suspended
በአ.ዘ.አ	By the
የባህሬን	Beatrice
በአማፂያን	In the Ambassadors
የእርሣቸውን	Their food
ከልል	Act
የፋፋን	FILE
በሸባብ	By snail
ውሎአል	Yes
በሕንፃዎች	In buildings
ያሣስባሉ	You fool
በአልተመጣጠነ	Inadequate
ብሪታ	Brittany
ህሙማኑ	sickness
እንደማያስቡ	Do not even think
ቢቀርብም	It's near
የደረሰውየአሳት	Got errors
ሞተውባታል	Killed her
ይራባሉ	They're hungry
ሲድሮፍ	Silim
ከግንባሩ	From his bows
ተቀብሯል	Buried
በጅንካ	In Hong Kong
ችልድረን	Child
የሚያሳያቸው	Show
የግራር	Guru
ከተወገዱ	If removed
ከ200000	From 200000
ለጋዜጣ	For news
ሞቃዲሹ	Moldovan
እንስሳቱም	animals
ለድንገቱ	For the suspension
ተነስ	stand up
ተመትተዋል	Were beaten
ማህበረሰብና	Community
አስተባባሪው	Coordinator
ዝንጀሮዎችና	And the monkeys
የታየር	Air
የሚመስለውና	It looks like
በናይጀሪያ	In Nigeria
ኣላፊዎች	Luggage
ሰራረኛ	Serious
ከጠ	If it were
በባህሪን	In Character
የጊዚያዊ	Timeless
አቀፉን	Play
አይደርስ	Do not get that
እሚባል	Ready
ወጋግራዎች	Pogroms
ከ55	From 55
ማስተናገዷ	Hosting
ምሕፃር	Thanks
250ሽህ	250 cu
አይኒ	Lenny
እየሳበ	Sink
እየተገኙና	Becoming
እነዚህኞቹም	And these
የማይኰስኩስ	Nonstop
ብሎው	He said
ተጠቅቷል	Is captured
ካጠኑ	Study
ሊጠቁ	attack
የጋዳፊ	Play a match Play
ስርዓቱም	system
ነዉጥ	Of course
እያከበሩ	Honor
የለጋሾችን	Search terms
ኃብትን	Wealth
ስለደረሱበት	Got it
እንዳባባሰውም	Even further
ሩፐርት	Rupee
በታንግሻን	In Taichang
አስጨናቂና	Disturbing
ማርዶማክ	Markodach
ከ705ኛው	From the 705th
በአስተኝቶ	In my experience
በረሓብ	LOVE
በገደላማ	Infected
ዝሃባ	Blasphemy
የዱብቲ	DUBB
ዜጐቿም	And her kinsmen
እንደሚያሰጉት	As you would
ደፋርና	Courageous
ያዳምምጡ	Listen
እንደሚጠብቅና	Expected
ሰርካለም	Serkalem
ሲፈስ	When toss
አድራጎቱም	And his actions
ባጠቃው	Attack him
የታይዋን	Taiwan
በደምቡብ	South of the South
ሚሊዬነሩ	Millier
ሎጂስቲክስ	Logistics
ወዳጃችንን	Friend
ለ1.1	For 1.1
ለአውድማም	To the ground
ፍቱ	Let go
ጥንቃቄወችን	Take care
ሊሸሽ	flee
የሚያመች	Nice
በኒዮርክ	In New York
የተጋለጠውን	Exposed
ግብን	Achievement
እንደሚችልም	As it does
የተቃረቡ	Approaching
አዳራሾች	Halls
የከተሙት	Square
በታለቁ	At bay
አደግኛ	Happy
ለሚያሻግሩ	For a ride
በአላባ	In Alabab
አጠመደ	Close
መኪኖችንና	And cars
ህብረ	Constellation
ራጃ	Rajaya
ዘጋባው	Enclose it
ቀጥፈው	Press it
ይበታተናሉ	They are scattered
የነፍሰ	Lethal
እየሰመጡ	Playing
በስነስርአቱ	By the system
የተቀዋሚን	Customizable
በተመታች	Got it
ለመቅነ	lose
የዊክሊክስ	Wikileaks
አምጪ	Bring
የNZ	NZ
በመፅሓፍ	In book
ከመንደሮችዋ	From her village
ከምትባል	From
ዩጂ99	Ugg 99
ለደደቢት	For dictation
ከዶናልድ	From Donald
ከሚጋለጡ	Exposed
ሲያጨናግፈው	When It's Throwing
ብሩንዲ	Burundi
እንዲሰርዝላት	Delete it
አያሰጋም	No worries
ቱቦዎችን	Tubes
የሰደዱ	Migrate
ክፍለ	Chapter
ትሪፖሊን	Tripoli
ከመግባባት	Communicate
ያደርቃቸዋል	It fails
አስደንጋጭና	Shocking
705ኛው	705th
ከ60-75	60-75
ደግሰው	Repeat
ገብነቱን	Belief
በአጨቃጫቂ	In an argument
ለማክሸፍና	cheat
ከተጎለተው	Enlarged
ቫኑቱን	Vanuatu
በመኖ	Fool
ስታይምበርግ	Straitbridge
ምንተፈጠረ	what happend
ያደረገቺው	Do it
እንደሚገኙበትና	As it is
ከባንዳው	From the Beast
አለመጠንከር	Nonstop
መገጣጠሙን	Together
መለቀቁ	Release
የጫኑ	Install
የያዛቸው	Catch
በሚደገፍ	Supported
አጋጣሚና	An opportunity
ይደርሷል	It will arrive
አለመረጋጋት	Unstable
ጆሞራዎች	Players
እያቀረብን	We are approaching
ቡሌና	Bullan
ጎብኚዎችን	Visitors
እየተሸሻለ	On the way
የጨረሩ	Radiation
ትረዳሽ	You understand
ከትትል	Wrong
የሮኬትና	Rockets
በመልዕክተኛቸው	Immediately tell them
ከመኖርያቸው	live
ይሰማታል	He feels it
ከእረፍታቸው	From their feet
ለአካባዊ	For physical
ሁለገብ	Comprehensive
የሚያቀጭጨው	Shabby
ተሰግቷል	Suspended
በሊቨርፑል	In Liverpool
ከ200-300	Between200-300
በአላሳን	In El Salvador
ሪዩተርስ	Reuters
እየዞረ	Circulating
ማብለያ	Lip
የቱኒዝንም	And Tunisian
ሾፌር	Driver
ዝተመለሰ	Retreat
ከርክሞ	Cute
እንድናደምጥ	Listen
ከቀጠለም	If it persists
ለህፃናትና	For babies and babies
የምታስተናግደው	You are hosting
በፉኩሺማ	Fukushima
ተሸክመዋል	Carried
የንጽህና	Hygiene
የተሤረ	Irrelevant
ኤጀንሲን	Agency
የሚያቆይ	Stay tuned
ሻይረስ	Cheese
በጅጅጋ	In Jijiga
የመስጠቱን	Giving
የተወረወረ	Throttled
የሚሰማውን	What he hears
በሕዝባቸው	With their people
የህዛባዊ	Legal
በቱኒዚያና	In Tunisia
ኣተኩሩ	Focus on it
ልፉለፋ	Pass it
ክፍለ-ግዛት	State
ኳርድሆ	Vodafone
ሲያወጡ	When you pull it out
እሣቱን	fire
ስትጓዝ	While traveling
እንደግብርናና	Like agriculture and
አላሰባሰብንም	We did not collect
ባሳደረበት	Posted
እንዳገኙበት	Find them
በመካከለኛውና	In the middle
አስረ	To jail
እንዲዘረጋ	expand
ጣቢያዎቻቸው	Their sites
በቱኒዚያው	In Tunisian
ተስኖአቸው	Failed
አለመከሰቱን	No occurrence
እንዲያፈላልግ	look
መሳባቸውና	And they are
ስተርሊንግ	Sterling
ላይቤሪያና	Liberia
ከጭንቅላታቸው	With their heads
ከሚደነቁ	Amazing
ለሳኡዲ	To Saudi
እንዳይጠጉ	Do not get caught
ይነገርላቸዋል	Known to them
ተዋናዮችን	Actors
ሰኢድ	SEED
አኑረዋል	Nestled
የመጠለያና	Shelter
ተራበው	Hungry
በሙሉም	All in all
ለየአገሮቻቸው	To their countries
ቁሳቁሶቹን	items
እንደሚሰቃዩ	Like torment
ቼንግዱ	Chengdu
መሸመትም	And it's cold
ቁጢጥ	Chest
ክምችቷ	Her collection
ፈሳሹን	fluid
በመለጠፍ	By posting
ኤዥያ	Asia
ረዲኤት	Thanksgiving
ተባርረው	They were chased
ለችልድረን	For help
ግብረኃይሉ	co-worker
ቅርንጫፎች	Branches
ጭነታቸውን	Their load
በየዓመቱም	Every year
በረሃዎች	Desert
ተቆጣች	Angry
ነፃነታችንንም	And our freedom
ዘገባዎቻችን	Our Reports
አማዱ	Of course
ለጥፏል	Posted
በኡዳይፐር	By Udipur
መከስከስን	Bustling
በሚያስደስት	Happily
ከ670	From 670
የማይፈድ	Uncompromising
ሳታገግም	Not recovered
ማራጋገጫ	Cookie
ሲችዋን	Chinese
ዘጋግቶ	Twisted
በሃዘን	Sorry
ተሽከርካሪዋ	Her vehicle
ከ11,000	From 11,000
