রেখেছিলেন	Kept it
ভাবি	I think
দেই	Give me
দিব	Will give
পানিও	Water also
জানো	You know
লাইনটি	The line
েছেন	Did you
কুয়ালালুম	Kuala Lumpur
মেরও	Beat up
বাঁচাতে	To save
রয়েট-এ	At the root
থলেই	The pouch
যাপারও	You can also
বলবো	Will say
লাইটযাতায়াচ	Light Jacket
কারাগারে	In prison,behind bars
কাটিয়ে	To spend
কনবতে	In the canvate
ততদিন	Those days,for those days.adverb,till those days.adverb,within those days.adverb,for so many days.adverb,up to those days.adverb,during those days.adverb
তুম	You are
তিমালিকানাধীন	Under the Timelines
উভয়েই	Both of them,either.adjective
ঘটনায়	In the event
ধারার	Section of
রয়োজনে	To be arranged
নাবিককে	The sailor
পানিতে	In the water
যায়নি	Could not
একেক	Each one
তাদেরকে	To them
হংকংয়ে	In Hong Kong
বিতা	The truth
যাবেনা	Can not go
কাফর	The unbeliever
বিভাজনের	The division
জেটটি	The jet
লোকটিকে	The man
পাবো	Get it
যালেসে	In charge
ঘুরে	Turn around
শিবিরে	In the camp
র-সম	Ray sum
যামেরায়	In Jamiara
গীকার	The pledge
অনেকের	Many of them
উপসাগরে	In the bay
ভুলতে	Forget it
নিয়মের	The rules
শুনে	Hear it
জানালাটা	The window
যবর	Back then
তানীদের	The nail
জানাব	Tell me
যাগুলোর	Which are
ণতায়	At the moment
বাণীতে	In the verse
২তারিখে	On 2
ডিসট	The disk
ষতিহয়েছে	It's okay
রাখুন	Keep it
অভাবে	Due to lack,minus.preposition,because of.preposition
বাচনেও	Be sure to
যারসোগোভিনায়	In Jarsogovina
ডেরও	Dare too
যা-সহ	With which
ভেবেছিলাম	I thought
দিনই	Day is the day
কমতে	To decrease
গরমে	In the summer
তীরের	The arrow
হৃদরোগ	Heart disease,heart-disease.noun,heart disease.noun
থিতিশীলসম	The thirty-three
পেরেছে	Have helped
বেড়	The fence,encirclement.noun,barrier.noun
আডিশনাল	The original
ভালো-মন	Good mind
সরকারে	In government
ফেলেছি	We have dropped
সুবক	Good luck
হলেই	If that is the case
বইছে	The book
তঘাতকের	The killer
বলছো	Say you
২৬জন	26 people
যালেন	Check out
মূলভূমিতে	In the mainland
যকারী	The doctor
সোমবারই	On Monday
রাখেন	Keep it
হব	Will be
লীগে	In the league
যবধানে	By the way
আইনশৃঙ	Law group
পারলে	If possible
দেবার	Giving up
দেশগুলোসহ	Including countries
কেউই	No one
বাইরেও	Outside too
ঠেকাতে	To prevent
এসেছি	I have come here
নতদেশগুলো	The lower courts
মাজারে	At the shrine
চালাবার	To run
ধরেছেন	Got it
পড়েছিলেন	Have read
বিনিময়ে	In return,for,against.preposition,in exchange for.preposition,in exchange
মটে	The Mat
শুনলেন	Heard it
যে-সব	All that
যাটি	That is
